entity,name,type,primary_key_type,coding_name,concept,description,folder_path,is_multi_select,is_sparse_coding,linkout,longitudinal_axis_type,referenced_entity_field,relationship,title,units
participant,p5116_i0_a4,float,,,,,UK Biobank Assessment Centre > Physical measures > Eye measures > Autorefraction,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5116,,,,3mm cylindrical power (right) | Instance 0 | Array 4,diopters
participant,p5986_i1_a43,integer,,,,,UK Biobank Assessment Centre > Physical measures > ECG during exercise,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5986,,,,"ECG, phase time | Instance 1 | Array 43",seconds
participant,p5985_i1_a104,integer,,,,,UK Biobank Assessment Centre > Physical measures > ECG during exercise,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5985,,,,Bicycle speed | Instance 1 | Array 104,revolutions/minute
participant,p20012_i0_a5,integer,,data_coding_14,,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20012,,,,Method of recording time when cancer first diagnosed | Instance 0 | Array 5,
participant,p12144_i2,integer,,,,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=12144,,,,Height | Instance 2,cm
participant,p20095_i4,integer,,data_coding_82,,,Online follow-up > Diet by 24-hour recall > Alcoholic beverages yesterday,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20095,,,,Size of white wine glass drunk | Instance 4,
participant,p20229_a16,integer,,,,,Online follow-up > Cognitive function online > Symbol digit substitution,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20229,,,,Values entered | Array 16,
participant,p25351_i2,float,,,,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=25351,,,,Mean ICVF in corticospinal tract on FA skeleton (left) | Instance 2,AU
participant,p22663_a25,integer,,,,,Online follow-up > Work environment > Employment history,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22663,,,,Year gap started | Array 25,calendar year
participant,p4249_i2_a2,integer,,,,,UK Biobank Assessment Centre > Physical measures > Hearing test,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4249,,,,Number of times 'clear' was pressed (right) | Instance 2 | Array 2,
participant,p20006_i2_a0,float,,data_coding_13,,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,yes,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20006,,,,Interpolated Year when cancer first diagnosed | Instance 2 | Array 0,years
participant,p4259_i2_a7,integer,,data_coding_29,,,UK Biobank Assessment Centre > Cognitive function > Numeric memory,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4259,,,,Digits entered correctly | Instance 2 | Array 7,
participant,p4207_i0,float,,,,,UK Biobank Assessment Centre > Physical measures > Arterial stiffness,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4207,,,,Pulse wave velocity (manual entry) | Instance 0,m/s
participant,p5087_i1_a2,float,,,,,UK Biobank Assessment Centre > Physical measures > Eye measures > Autorefraction,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5087,,,,Cylindrical power (right) | Instance 1 | Array 2,diopters
participant,p5984_i1_a54,integer,,,,,UK Biobank Assessment Centre > Physical measures > ECG during exercise,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5984,,,,"ECG, load | Instance 1 | Array 54",Watts
participant,p5152_i1_a5,integer,,data_coding_33,,,UK Biobank Assessment Centre > Physical measures > Eye measures > Autorefraction,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5152,,,,3mm asymmetry index for irregular astigmatism level (right) | Instance 1 | Array 5,
participant,p1329_i1,integer,,data_coding_100377,,,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1329,,,,Oily fish intake | Instance 1,
participant,p22609_a30,integer,,data_coding_493,,,Online follow-up > Work environment > Employment history,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22609,,,,Workplace very dusty | Array 30,
participant,p20014_i0_a16,integer,,data_coding_14,,,UK Biobank Assessment Centre > Verbal interview > Operations,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20014,,,,Method of recording time when operation occurred | Instance 0 | Array 16,
participant,p30523_i1,string,,data_coding_200,,,Biological samples > Urine assays > Urine processing,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30523,,,,Potassium in urine device ID | Instance 1,
participant,p20148_a2,integer,,,,,Online follow-up > Cognitive function online > Trail making,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20148,,,,Errors before selecting correct item in alphanumeric path (trail #2) | Array 2,error-count
participant,p5983_i0_a85,integer,,,,,UK Biobank Assessment Centre > Physical measures > ECG during exercise,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5983,,,,"ECG, heart rate | Instance 0 | Array 85",
participant,p2946_i2,integer,,data_coding_100291,,,UK Biobank Assessment Centre > Touchscreen > Family history,,yes,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2946,,,,Father's age | Instance 2,years
participant,p22612_a27,integer,,data_coding_493,,,Online follow-up > Work environment > Employment history,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22612,,,,Worked with materials containing asbestos | Array 27,
participant,p20110_i2_a5,integer,,data_coding_1010,,,UK Biobank Assessment Centre > Touchscreen > Family history,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20110,,,,Illnesses of mother | Instance 2 | Array 5,
participant,p20114_i2_a2,integer,,data_coding_1010,,,UK Biobank Assessment Centre > Touchscreen > Family history,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20114,,,,Illnesses of adopted siblings | Instance 2 | Array 2,
participant,p20129_i0_a1,integer,,,,,Online follow-up > Cognitive function online > Pairs matching,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20129,,,,Number of columns displayed in round | Instance 0 | Array 1,
participant,p5118_i0_a4,float,,,,,UK Biobank Assessment Centre > Physical measures > Eye measures > Autorefraction,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5118,,,,6mm cylindrical power (left) | Instance 0 | Array 4,diopters
participant,p100021_i4,float,,,,,Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100021,,,,Vitamin D | Instance 4,ug
participant,p5148_i1_a3,string,,data_coding_1210,,,UK Biobank Assessment Centre > Physical measures > Eye measures > Autorefraction,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5148,,,,3mm regularity index unreliable (left) | Instance 1 | Array 3,
participant,p20117_i1,integer,,data_coding_90,,,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20117,,,,Alcohol drinker status | Instance 1,
participant,p5983_i0_a65,integer,,,,,UK Biobank Assessment Centre > Physical measures > ECG during exercise,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5983,,,,"ECG, heart rate | Instance 0 | Array 65",
participant,p103080_i3,integer,,data_coding_100016,,,Online follow-up > Diet by 24-hour recall > Meat/fish yesterday,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=103080,,,,Ham intake | Instance 3,Slice
participant,p25589_i2,float,,,,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=25589,,,,Weighted-mean L1 in tract posterior thalamic radiation (right) | Instance 2,AU
participant,p20085_i2,integer,,data_coding_75,,,Online follow-up > Diet by 24-hour recall > Typical diet yesterday,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20085,,,,Reason for not eating or drinking normally | Instance 2,
participant,p20200_a7,integer,,,,,Online follow-up > Cognitive function online > Symbol digit substitution,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20200,,,,Values wanted | Array 7,
participant,p5114_i0_a1,integer,,,,,UK Biobank Assessment Centre > Physical measures > Eye measures > Autorefraction,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5114,,,,6mm cylindrical power angle (right) | Instance 0 | Array 1,
participant,p2794_i2,integer,,data_coding_100291,,,UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors,,yes,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2794,,,,Age started oral contraceptive pill | Instance 2,years
participant,p4418_i2,integer,,data_coding_100291,,,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol,,yes,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4418,,,,Average monthly champagne plus white wine intake | Instance 2,glasses
participant,p5086_i0_a2,float,,,,,UK Biobank Assessment Centre > Physical measures > Eye measures > Autorefraction,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5086,,,,Cylindrical power (left) | Instance 0 | Array 2,diopters
participant,p87_i2_a8,integer,,data_coding_37,,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,yes,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=87,,,,Non-cancer illness year/age first occurred | Instance 2 | Array 8,
participant,p20009_i2_a27,float,,data_coding_13,,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,yes,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20009,,,,Interpolated Age of participant when non-cancer illness first diagnosed | Instance 2 | Array 27,years
participant,p100860_i4,integer,,data_coding_100001,,,Online follow-up > Diet by 24-hour recall > Cereal yesterday,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100860,,,,Other cereal intake | Instance 4,Bowl
participant,p25835_i2,float,,,,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=25835,,,,Volume of grey matter in Subcallosal Cortex (right) | Instance 2,mm3
participant,p1239_i2,integer,,data_coding_100347,,,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1239,,,,Current tobacco smoking | Instance 2,
participant,p22640_a25,integer,,data_coding_489,,,Online follow-up > Work environment > Employment history,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22640,,,,Mixture of day and night shifts worked | Array 25,
participant,p5146_i1_a5,string,,data_coding_1209,,,UK Biobank Assessment Centre > Physical measures > Eye measures > Autorefraction,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5146,,,,6mm regularity index unreliable (right) | Instance 1 | Array 5,
participant,p5984_i1_a18,integer,,,,,UK Biobank Assessment Centre > Physical measures > ECG during exercise,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5984,,,,"ECG, load | Instance 1 | Array 18",Watts
participant,p3710_i2,integer,,data_coding_100582,,,UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors,,yes,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3710,,,,Length of menstrual cycle | Instance 2,days
participant,p5984_i0_a29,integer,,,,,UK Biobank Assessment Centre > Physical measures > ECG during exercise,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5984,,,,"ECG, load | Instance 0 | Array 29",Watts
participant,p5292_i0,integer,,,,,UK Biobank Assessment Centre > Physical measures > Eye measures > Autorefraction,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5292,,,,3mm index of best keratometry results (left) | Instance 0,
participant,p4204_i0,integer,,data_coding_12,,,UK Biobank Assessment Centre > Physical measures > Arterial stiffness,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4204,,,,Absence of notch position in the pulse waveform | Instance 0,
participant,p20200_a11,integer,,,,,Online follow-up > Cognitive function online > Symbol digit substitution,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20200,,,,Values wanted | Array 11,
participant,p22652_a7,integer,,,,,Online follow-up > Work environment > Employment history,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22652,,,,Usual length of each night shift during night shift periods | Array 7,hours
participant,p25147_i2,float,,,,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=25147,,,,Mean MD in superior fronto-occipital fasciculus on FA skeleton (left) | Instance 2,AU
participant,p102210_i2,integer,,data_coding_100003,,,Online follow-up > Diet by 24-hour recall > Soup/snacks/pastries yesterday,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=102210,,,,Sponge pudding intake | Instance 2,Serving
participant,p5087_i0_a0,float,,,,,UK Biobank Assessment Centre > Physical measures > Eye measures > Autorefraction,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5087,,,,Cylindrical power (right) | Instance 0 | Array 0,diopters
participant,p101470_i4,integer,,data_coding_100006,,,Online follow-up > Diet by 24-hour recall > Bread/pasta/rice yesterday,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=101470,,,,Number of crackers/crispbreads with butter/margarine | Instance 4,Biscuit/
participant,p5185_i1,integer,,data_coding_100274,,,UK Biobank Assessment Centre > Physical measures > Eye measures > Visual acuity,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5185,,,,Visual acuity measured (right) | Instance 1,
participant,p22604_a35,integer,,data_coding_494,,,Online follow-up > Work environment > Employment history,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22604,,,,Work hours - lumped category | Array 35,
participant,p102420_i3,integer,,data_coding_100003,,,Online follow-up > Diet by 24-hour recall > Soup/snacks/pastries yesterday,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=102420,,,,Unsalted peanuts intake | Instance 3,Handful
participant,p4233_i2_a12,float,,,,,UK Biobank Assessment Centre > Physical measures > Hearing test,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4233,,,,"Mean signal-to-noise ratio (SNR), (left) | Instance 2 | Array 12",
participant,p22616_a36,integer,,data_coding_7,,,Online follow-up > Work environment > Employment history,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22616,,,,Breathing problems during period of job | Array 36,
participant,p104120_i4,integer,,data_coding_100017,,,Online follow-up > Diet by 24-hour recall > Fruit/vegetables yesterday,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=104120,,,,Green bean intake | Instance 4,Serving
participant,p401_i2_a3,integer,,data_coding_92,,,UK Biobank Assessment Centre > Cognitive function > Reaction time,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=401,,,,Index for card A in round | Instance 2 | Array 3,
participant,p30044_i0,integer,,data_coding_2226,,,Biological samples > Blood assays > Blood count > Blood count processing,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30044,,,,Mean corpuscular volume acquisition route | Instance 0,
participant,p5102_i0_a3,integer,,,,,UK Biobank Assessment Centre > Physical measures > Eye measures > Autorefraction,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5102,,,,6mm weak meridian angle (left) | Instance 0 | Array 3,degrees
participant,p100011_i2,float,,,,,Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100011,,,,Iron | Instance 2,mg
participant,p25457_i2,float,,,,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=25457,,,,Mean ISOVF in anterior limb of internal capsule on FA skeleton (left) | Instance 2,AU
participant,p22631_a9,float,,,,,Online follow-up > Work environment > Employment history,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22631,,,,Period spent working day shifts | Array 9,years
participant,p20148_a19,integer,,,,,Online follow-up > Cognitive function online > Trail making,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20148,,,,Errors before selecting correct item in alphanumeric path (trail #2) | Array 19,error-count
participant,p5133_i0_a4,float,,,,,UK Biobank Assessment Centre > Physical measures > Eye measures > Autorefraction,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5133,,,,6mm strong meridian (right) | Instance 0 | Array 4,diopters
participant,p5984_i0_a94,integer,,,,,UK Biobank Assessment Centre > Physical measures > ECG during exercise,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5984,,,,"ECG, load | Instance 0 | Array 94",Watts
participant,p20011_i0_a3,float,,data_coding_13,,,UK Biobank Assessment Centre > Verbal interview > Operations,,yes,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20011,,,,Interpolated Age of participant when operation took place | Instance 0 | Array 3,years
participant,p5983_i1_a8,integer,,,,,UK Biobank Assessment Centre > Physical measures > ECG during exercise,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5983,,,,"ECG, heart rate | Instance 1 | Array 8",
participant,p20013_i1_a13,integer,,data_coding_14,,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20013,,,,Method of recording time when non-cancer illness first diagnosed | Instance 1 | Array 13,
participant,p22009_a9,float,,,,,Genomics > Genotypes > Genotyping process and sample QC,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22009,,,,Genetic principal components | Array 9,Units
participant,p4022_i2,integer,,data_coding_100291,,,UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions,,yes,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4022,,,,Age pulmonary embolism (blood clot in lung) diagnosed | Instance 2,years
participant,p25899_i2,float,,,,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=25899,,,,Volume of grey matter in VI Cerebellum (right) | Instance 2,mm3
participant,p20200_a17,integer,,,,,Online follow-up > Cognitive function online > Symbol digit substitution,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20200,,,,Values wanted | Array 17,
participant,p5984_i1_a59,integer,,,,,UK Biobank Assessment Centre > Physical measures > ECG during exercise,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5984,,,,"ECG, load | Instance 1 | Array 59",Watts
participant,p4260_i2_a3,integer,,,,,UK Biobank Assessment Centre > Cognitive function > Numeric memory,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4260,,,,Round of numeric memory test | Instance 2 | Array 3,
participant,p5199_i0,float,,,,,UK Biobank Assessment Centre > Physical measures > Eye measures > Visual acuity,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5199,,,,"logMAR, initial (right) | Instance 0",
participant,p5986_i0_a42,integer,,,,,UK Biobank Assessment Centre > Physical measures > ECG during exercise,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5986,,,,"ECG, phase time | Instance 0 | Array 42",seconds
participant,p20009_i2_a24,float,,data_coding_13,,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,yes,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20009,,,,Interpolated Age of participant when non-cancer illness first diagnosed | Instance 2 | Array 24,years
participant,p102070_i3,integer,,data_coding_100004,,,Online follow-up > Diet by 24-hour recall > Soup/snacks/pastries yesterday,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=102070,,,,Scone intake | Instance 3,Scone
participant,p20007_i2_a5,float,,data_coding_13,,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,yes,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20007,,,,Interpolated Age of participant when cancer first diagnosed | Instance 2 | Array 5,years
participant,p25345_i2,float,,,,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=25345,,,,Mean ICVF in pontine crossing tract on FA skeleton | Instance 2,AU
participant,p738_i2,integer,,data_coding_100294,,,UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=738,,,,Average total household income before tax | Instance 2,
participant,p5265_i0,float,,,,,UK Biobank Assessment Centre > Physical measures > Eye measures > Intraocular pressure,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5265,,,,Corneal resistance factor (left) | Instance 0,
participant,p6032_i1,integer,,,,,UK Biobank Assessment Centre > Physical measures > ECG during exercise,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6032,,,,Maximum workload during fitness test | Instance 1,Watts
participant,p22631_a0,float,,,,,Online follow-up > Work environment > Employment history,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22631,,,,Period spent working day shifts | Array 0,years
participant,p20098_i3,integer,,data_coding_83,,,Online follow-up > Diet by 24-hour recall > Bread/pasta/rice yesterday,yes,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20098,,,,Thickness of butter/margarine spread on sliced bread | Instance 3,
participant,p87_i2_a25,integer,,data_coding_37,,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,yes,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=87,,,,Non-cancer illness year/age first occurred | Instance 2 | Array 25,
participant,p5163_i0_a2,float,,,,,UK Biobank Assessment Centre > Physical measures > Eye measures > Autorefraction,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5163,,,,3mm regularity index (left) | Instance 0 | Array 2,
participant,p30081_i0,integer,,,,,Biological samples > Blood assays > Blood count > Blood count processing,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30081,,,,Platelet count freeze-thaw cycles | Instance 0,
participant,p4233_i0_a6,float,,,,,UK Biobank Assessment Centre > Physical measures > Hearing test,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4233,,,,"Mean signal-to-noise ratio (SNR), (left) | Instance 0 | Array 6",
participant,p22618_a21,integer,,data_coding_7,,,Online follow-up > Work environment > Employment history,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22618,,,,Breathing problems improved/stopped away from workplace or on holiday | Array 21,
participant,p103210_i4,integer,,data_coding_100004,,,Online follow-up > Diet by 24-hour recall > Meat/fish yesterday,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=103210,,,,Lobster/crab intake | Instance 4,Serving
participant,p25561_i2,float,,,,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=25561,,,,Weighted-mean MO in tract posterior thalamic radiation (left) | Instance 2,AU
participant,p20012_i1_a5,integer,,data_coding_14,,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20012,,,,Method of recording time when cancer first diagnosed | Instance 1 | Array 5,
participant,p4233_i0_a10,float,,,,,UK Biobank Assessment Centre > Physical measures > Hearing test,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4233,,,,"Mean signal-to-noise ratio (SNR), (left) | Instance 0 | Array 10",
participant,p87_i2_a4,integer,,data_coding_37,,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,yes,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=87,,,,Non-cancer illness year/age first occurred | Instance 2 | Array 4,
participant,p25802_i2,float,,,,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=25802,,,,"Volume of grey matter in Middle Temporal Gyrus, anterior division (left) | Instance 2",mm3
